LangID,CountryID,LangStatus,Name_lang,Name_country,Area,Print_Name,language (local),SIL code,Eth_Language Status,end_class,L1,L2,wikiname,articles,adjusted WP size,WP size in chars,WP_incubator_new,avg good page length,real/ total ratio,MS-if-pack,MS-pack,MAC-input,MAC-supp,hunspell status,hunspell coverage,cru1_ISO-639-3,cru1_Characters,cru2_Characters,cru1_Words,cru2_Words,cru1_Docs,cru2_Docs,cru1_UDHR,cru2_UDHR,cru1_FLOSS SplChk,cru2_FLOSS SplChk,cru1_WT,cru2_WT,TLDs(%),la_Primary texts_Online
aae,IT,L,"Albanian, Arbëreshë",Italy,Europe,Arbëreshë Albanian,0,0,6.5,5,100000,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,aae,1409,0,259,0,1,0,0,0,0,0,0,0,0,0
fur,IT,L,Friulian,Italy,Europe,Friulian,Furlan,fur,5.0,5,300000,0,fur,3005,1587449.0,2651256,0,2470.0,0.19,0.0,0,0,0,myspell,0.79,fur,112024108,0,19044249,0,8926,0,1,1,1,1,0,0,37.20 o 20.59 it 15.89 c,0
ita,IT,L,Italian,Italy,Europe,Italian,Italiano,ita,1.0,0,61068677,0,it,925588,1429839734.0,1970376775,0,5402.0,0.3,0.0,1,1,1,aff-dic,0.8,ita,47899709,0,7230977,0,1212,0,1,1,1,1,1,1,27.57 o 24.86 it 23.21 c,22
lij,IT,L,Ligurian,Italy,Europe,Ligurian,Líguru,lij,5.0,0,505100,0,lij,2898,541167.0,1316050,0,2840.0,0.07,0.0,0,0,0,not found,0.0,lij,1055103,0,182311,0,40,0,0,0,0,0,0,0,32.46 o 15.15 it 14.52 c,0
lld,IT,L,Ladin,Italy,Europe,Ladin,0,0,6.5,6,20000,0,0,117,185741.0,222896,1,6404.86206897,0.247863247863,0.0,0,0,0,0,0.0,lld,4713798,0,737304,0,399,0,0,0,0,0,1,1,0,0
lmo,IT,L,Lombard,Italy,Europe,Lombard,Lumbaart,lmo,5.0,0,3903000,0,lmo,24488,2794886.0,9586788,0,2967.0,0.04,0.0,0,0,0,not found,0.0,lmo,1828255,0,321039,0,140,0,0,0,0,0,0,0,45.89 de 18.97 ch 18.10 it,0
nap,IT,L,Napoletano-Calabrese,Italy,Europe,Neapolitan,Nnapulitano,nap,5.0,0,5700000,0,nap,13536,2298917.0,4326699,0,5334.0,0.03,0.0,0,0,0,not found,0.0,nap,768788,0,125996,0,42,0,0,0,0,0,0,0,47.02 it 38.31 o 5.54 n,0
pms,IT,L,Piedmontese,Italy,Europe,Piedmontese,Piemontèis,pms,5.0,5,1600000,0,pms,50247,1900052.0,15501215,0,5854.0,0.01,0.0,0,0,0,not found,0.0,pms,9068941,0,1559721,0,2,0,0,0,0,0,0,0,81.75 o 13.59 it 1.76 fr,0
scn,IT,L,Sicilian,Italy,Europe,Sicilian,Sicilianu,scn,5.0,0,4700000,0,scn,17869,4242556.0,10127955,0,3005.0,0.08,0.0,0,0,0,not found,0.0,scn,6305766,0,965453,0,551,0,0,0,0,0,0,0,36.15 it 28.38 o 21.09 c,0
vec,IT,L,Venetian,Italy,Europe,Venetian,Vèneto,vec,4.0,0,3852500,0,vec,9425,4028796.0,7384911,0,3526.0,0.13,0.0,0,0,0,not found,0.0,vec,9582885,0,1642090,0,1143,0,0,0,0,0,0,0,40.49 o 27.16 it 13.06 c,0
ell,GR,L,Greek,Greece,Europe,Modern Greek (1453-),Ελληνικά,ell,1.0,0,13068650,0,el,73360,152275234.0,190782613,0,4224.0,0.5,0.0,1,1,0,aff-dic,0.82,ell,1017875878,0,145760247,0,64612,0,1,1,1,1,1,1,34.23 o 22.76 gr 20.3 c,6
grc,GR,L,"Greek, Ancient",Greece,Europe,Ancient Greek (to 1453),0,0,10.0,0,0,0,0,1146,56150.0,360454,1,2807.5,0.0174520069808,0.0,0,0,0,0,0.0,grc,3265351,0,519377,0,33,0,0,0,1,1,0,0,0,1
pnt,GR,L,Pontic,Greece,Europe,Pontic,Ποντιακά,pnt,6.0,6,1178000,0,pnt,340,61354.0,206435,0,1741.0,0.11,0.0,0,0,0,not found,0.0,pnt,472771,0,69780,0,78,0,0,0,0,0,0,0,55.27 o 12.91 c 6.77 gr,0
ady,RU,L,Adyghe,Russian Federation,Europe,Adyghe,0,0,2.0,0,491800,0,0,146,80748.0,124484,1,6211.38461538,0.0890410958904,0.0,0,0,0,0,0.0,ady,52919,44481,6590,5793,18,2,0,0,0,0,1,1,0,22
alr,RU,L,Alutor,Russian Federation,Europe,Alutor,0,0,8.5,9,25,0,0,2,0.0,44,1,0.0,0.0,0.0,0,0,0,0,0.0,alr,2590,0,289,0,1,0,0,0,0,0,0,0,0,0
alt,RU,L,"Altai, Southern",Russian Federation,Europe,Altay,0,0,2.0,6,57400,0,0,48,21537.0,25811,1,3076.71428571,0.145833333333,0.0,0,0,0,0,0.0,alt,50075,0,6666,0,16,0,0,0,0,0,1,1,0,0
ava,RU,L,Avar,Russian Federation,Europe,Avaric,Авар,ava,4.0,0,761960,0,av,1019,244652.0,438679,0,2930.0,0.08,0.0,0,0,0,not found,0.0,ava,8536,1395565,1059,179049,2,3,0,0,0,0,1,1,52.57 o 26.46 ru 5.67 c,1
bak,RU,L,Bashkort,Russian Federation,Europe,Bashkir,Башҡорт,bak,4.0,0,1221340,0,ba,15971,2182525.0,11137761,0,3303.0,0.04,0.0,0,0,0,Commercial,0.0,bak,3116538,0,425466,0,190,0,0,0,0,0,1,1,77.18 ru 11.65 de 6.13 o,1
che,RU,L,Chechen,Russian Federation,Europe,Chechen,Нохчийн,che,2.0,0,1361000,0,ce,1600,1710505.0,3315838,0,10893.0,0.1,0.0,0,0,0,not found,0.0,che,14454210,0,2234018,0,506,0,0,0,0,0,1,1,76.19 o 7.15 ru 6.08 c,0
chu,RU,L,"Slavonic, Church",Russian Federation,Europe,Old Church Slavonic,Словѣньскъ,chu,10.0,0,0,0,cu,506,23668.0,182907,0,1043.0,0.04,0.0,0,0,0,not found,0.0,chu,9504,0,1376,0,1,0,0,0,0,0,0,0,64.03 o 10.54 ru 4.18 de,1
chv,RU,L,Chuvash,Russian Federation,Europe,Chuvash,Чăваш,chv,4.0,0,1077420,200000,cv,13695,3220629.0,10109883,0,2854.0,0.08,0.0,0,0,0,aff-dic,0.59,chv,949920,0,135741,0,115,0,0,0,1,1,1,1,45.71 ru 16.68 o 11.42 c,0
ckt,RU,L,Chukchi,Russian Federation,Europe,Chukot,0,0,6.5,6,5100,0,0,41,792.0,5804,1,792.0,0.0243902439024,0.0,0,0,0,0,0.0,ckt,1987061,0,248882,0,205,0,0,0,0,0,0,0,0,0
dar,RU,L,Dargwa,Russian Federation,Europe,Dargwa,0,0,4.0,0,492490,0,0,2,0.0,43,1,0.0,0.0,0.0,0,0,0,0,0.0,dar,7750,0,975,0,2,0,0,0,0,0,1,1,0,0
eve,RU,L,Even,Russian Federation,Europe,Even,0,0,7.0,9,5660,0,0,2,0.0,102,1,0.0,0.0,0.0,0,0,0,0,0.0,eve,482340,0,59392,0,8,0,1,1,0,0,0,0,0,3
gld,RU,L,Nanai,Russian Federation,Europe,Nanai,0,0,7.0,9,1390,0,0,1,0.0,1250,1,0.0,0.0,0.0,0,0,0,0,0.0,gld,81124,0,9668,0,1,0,0,0,0,0,0,0,0,1
inh,RU,L,Ingush,Russian Federation,Europe,Ingush,0,0,4.0,0,322900,0,0,485,0.0,115725,1,0.0,0.0,0.0,0,0,0,0,0.0,inh,7206,13317,1076,2004,2,2,0,0,0,0,1,1,0,0
kbd,RU,L,Kabardian,Russian Federation,Europe,Kabardian,Адыгэбзэ (Adighabze),kbd,5.0,0,1628500,0,kbd,820,682809.0,1023404,0,2960.0,0.23,0.0,0,0,0,not found,0.0,kbd,1850608,0,233933,0,105,0,0,0,0,0,1,1,40.99 gov 22.27 ru 21.01 o,0
kjh,RU,L,Khakas,Russian Federation,Europe,Khakas,0,0,5.0,6,42600,0,0,10,0.0,1214,1,0.0,0.0,0.0,0,0,0,0,0.0,kjh,49483,0,6411,0,17,0,0,0,0,0,1,1,0,0
koi,RU,L,Komi-Permyak,Russian Federation,Europe,Komi-Permyak,Перем Коми (Perem Komi),koi,5.0,5,63100,0,koi,3396,401730.0,2302990,0,5171.0,0.02,0.0,0,0,0,not found,0.0,koi,713824,0,99320,0,5,0,0,0,0,0,0,0,45.27 o 22.61 ru 8.50 fi,0
kpv,RU,L,Komi-Zyrian,Russian Federation,Europe,Komi-Zyrian,0,0,5.0,0,156000,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,kpv,765978,0,108770,0,35,0,0,0,0,0,0,0,0,0
kpy,RU,L,Koryak,Russian Federation,Europe,Koryak,0,0,7.0,7,1670,0,0,9,0.0,1243,1,0.0,0.0,0.0,0,0,0,0,0.0,kpy,3420,0,386,0,1,0,0,0,0,0,0,0,0,0
krc,RU,L,Karachay-Balkar,Russian Federation,Europe,Karachay-Balkar,Къарачай-Малкъар (Qarachay-Malqar),krc,4.0,0,305000,0,krc,1736,1165052.0,1636724,0,4471.0,0.15,0.0,0,0,0,not found,0.0,krc,7528,0,988,0,2,0,0,0,0,0,1,1,33.03 ru 32.31 o 10.16 c,0
kum,RU,L,Kumyk,Russian Federation,Europe,Kumyk,0,0,5.0,0,426550,0,0,19,0.0,692,1,0.0,0.0,0.0,0,0,0,0,0.0,kum,7170,0,980,0,2,0,0,0,0,0,1,1,0,0
lbe,RU,L,Lak,Russian Federation,Europe,Lak,Лакку,lbe,4.0,0,153170,0,lbe,1191,58684.0,242557,0,1502.0,0.03,0.0,0,0,0,not found,0.0,lbe,7598,0,960,0,2,0,0,0,0,0,1,1,40.17 tr 29.46 o 13.45 ru,0
lez,RU,L,Lezgi,Russian Federation,Europe,Lezghian,Лезги чІал (Lezgi č’al),lez,4.0,0,402000,0,lez,754,193235.0,466912,0,2964.0,0.09,0.0,0,0,0,not found,0.0,0,0,630542,0,82436,0,1,1,0,0,0,1,0,29.25 ru 28.42 o 12.70 c,0
mdf,RU,L,Moksha,Russian Federation,Europe,Moksha,Мокшень (Mokshanj Kälj),mdf,5.0,4,432000,0,mdf,1117,253589.0,687747,0,1856.0,0.12,0.0,0,0,0,not found,0.0,mdf,8274,0,1131,0,2,0,0,0,0,0,1,1,36.33 o 19.28 ru 13.01 c,0
mhr,RU,L,"Mari, Meadow",Russian Federation,Europe,Mari,Олык Марий (Olyk Marij),mhr,4.0,5,388000,0,mhr,3027,1353177.0,2447869,0,6588.0,0.07,0.0,0,0,0,not found,0.0,mhr,6920430,0,896541,0,661,0,0,0,0,0,0,0,67.35 o 19.27 ru 4.40 c,0
mrj,RU,L,"Mari, Hill",Russian Federation,Europe,Mari,Кырык Мары (Kyryk Mary),mrj,5.0,5,388000,0,mrj,5063,797768.0,2220249,0,2885.0,0.05,0.0,0,0,0,not found,0.0,mrj,51950,0,7063,0,17,0,0,0,0,0,1,1,79.73 tr 5.96 o 4.16 ru,0
myv,RU,L,Erzya,Russian Federation,Europe,Erzya,Эрзянь (Erzjanj Kelj),myv,5.0,4,431700,0,myv,1510,330650.0,704291,0,3805.0,0.06,0.0,0,0,0,online analiser,0.0,myv,8232,0,1076,0,2,0,0,0,0,0,1,1,71.11 o 10.37 ru 5.67 c,0
neg,RU,L,Negidal,Russian Federation,Europe,Negidal,0,0,8.5,9,74,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,neg,27166,0,3642,0,1,0,0,0,0,0,0,0,0,1
niv,RU,L,Gilyak,Russian Federation,Europe,Gilyak,0,0,8.0,9,200,0,0,4,0.0,837,1,0.0,0.0,0.0,0,0,0,0,0.0,niv,27299,0,4222,0,1,0,0,0,0,0,0,0,0,0
oss,RU,L,Ossetic,Russian Federation,Europe,Ossetian,Иронау,oss,5.0,0,577450,0,os,8680,2404234.0,3084928,0,2161.0,0.09,0.0,0,0,0,not found,0.0,oss,139728,0,20378,0,29,0,1,1,0,0,1,1,65.09 o 15.90 ru 4.47 c,0
rus,RU,L,Russian,Russian Federation,Europe,Russian,Русский,rus,1.0,0,161727650,110000000,ru,859484,1369041800.0,1890345229,0,4558.0,0.35,0.0,1,1,1,aff-dic,0.73,rus,20410381,351405910,2662593,45841408,1425,17058,1,1,1,1,1,1,31.53 ru 30.22 o 16.07 c,5
sah,RU,L,Yakut,Russian Federation,Europe,Yakut,Саха тыла (Saxa Tyla),sah,2.0,0,450000,0,sah,8155,1525392.0,4626666,0,2186.0,0.08,0.0,0,0,0,not found,0.0,sah,8736015,0,1115396,0,604,0,1,1,0,0,1,1,34.19 ru 30.50 o 14.56 c,1
tab,RU,L,Tabasaran,Russian Federation,Europe,Tabassaran,0,0,4.0,5,126000,0,0,4,0.0,53,1,0.0,0.0,0.0,0,0,0,0,0.0,tab,7009,0,974,0,2,0,0,0,0,0,1,1,0,1
tat,RU,L,Tatar,Russian Federation,Europe,Tatar,Tatarça / Татарча,tat,2.0,0,4280000,0,tt,15283,5864686.0,11520396,0,2579.0,0.13,1.0,0,0,0,aff-dic,0.84,tat,668732,0,91496,0,96,0,1,1,0,0,1,1,42.41 ru 19.98 o 12.01 n,1
ude,RU,L,Udihe,Russian Federation,Europe,Udihe,0,0,8.5,8,100,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,ude,28552,0,3790,0,1,0,0,0,0,0,0,0,0,2
udm,RU,L,Udmurt,Russian Federation,Europe,Udmurt,Удмурт кыл,udm,5.0,6,339800,0,udm,3077,365200.0,1294448,0,2203.0,0.05,0.0,0,0,0,not found,0.0,udm,822365,0,108153,0,77,0,0,0,0,0,1,1,39.48 o 33.20 ru 8.54 c,0
ulc,RU,L,Ulch,Russian Federation,Europe,Ulch,0,0,8.0,8,150,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,ulc,51010,0,6720,0,1,0,0,0,0,0,0,0,0,1
vep,RU,L,Veps,Russian Federation,Europe,Veps,Vepsän,vep,6.5,9,3610,0,vep,1301,107008.0,364013,0,1910.0,0.04,0.0,0,0,0,not found,0.0,0,0,379682,0,48549,0,1,1,0,0,0,1,0,38.75 o 27.03 ru 12.85 c,1
xal,RU,L,Kalmyk-Oirat,Russian Federation,Europe,Kalmyk,Хальмг,xal,6.5,6,360500,0,xal,1836,97988.0,334692,0,4251.0,0.01,0.0,0,0,0,not found,0.0,xal,291085,0,44599,0,15,0,0,0,0,0,1,1,66.05 o 15.12 ru 4.43 c,0
ykg,RU,L,"Yukaghir, Northern",Russian Federation,Europe,Northern Yukaghir,0,0,7.7,8,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,ykg,15841,0,1686,0,2,0,1,1,0,0,0,0,0,0
yux,RU,L,"Yukaghir, Southern",Russian Federation,Europe,Southern Yukaghir,0,0,8.5,8,370,0,0,11,0.0,1094,1,0.0,0.0,0.0,0,0,0,0,0.0,yux,8379,0,1091,0,1,0,0,0,0,0,0,0,0,0
fry,NL,L,Frisian,Netherlands,Europe,Western Frisian,Frysk,fry,2.0,0,467000,0,fy,24718,23065484.0,32215306,0,2554.0,0.34,0.0,0,0,0,just fy_NL for Frisian,0.77,fry,53828793,0,8710583,0,4865,0,1,1,1,1,0,0,37.04 nl 33.35 o 12.33 c,0
lim,NL,L,Limburgish,Netherlands,Europe,Limburgish,Limburgs,lim,2.0,0,1300000,0,li,6990,7497457.0,12437372,0,2859.0,0.38,0.0,0,0,0,not found,0.0,lim,3081711,0,501145,0,731,0,0,0,0,0,0,0,27.36 de 23.87 nl 16.68 o,0
nld,NL,L,Dutch,Netherlands,Europe,Dutch,Nederlands,nld,1.0,0,22984690,0,nl,1044751,714973993.0,1158548239,0,3452.0,0.21,0.0,1,1,1,aff-dic,0.84,nld,20364779,0,3294064,0,767,0,1,1,1,1,1,1,53.18 o 19.05 c 5.41 de,21
zea,NL,L,Zeeuws,Netherlands,Europe,Zeeuws,Zeêuws,zea,5.0,0,220000,0,zea,2778,459784.0,1859916,0,2481.0,0.07,0.0,0,0,0,not found,0.0,zea,78164,0,12574,0,9,0,0,0,0,0,0,0,88.70 o 5.35 nl 1.92 c,0
aln,AL,L,"Albanian, Gheg",Albania,Europe,Gheg Albanian,0,0,2.0,0,4178790,0,0,82,79758.0,99672,1,3798.0,0.256097560976,0.0,0,0,0,0,0.0,aln,1065,0,207,0,1,0,0,0,0,0,0,0,0,0
als,AL,L,"Albanian, Tosk",Albania,Europe,Tosk Albanian,Shqip,als,1.0,0,3108200,0,sq,41413,47822913.0,57935240,0,4639.0,0.24,1.0,0,0,0,myspell,0.81,als,193459,0,30488,0,16,0,0,0,1,1,0,0,41.03 o 22.20 c 16.73 de,1
arg,ES,L,Aragonese,Spain,Europe,Aragonese,Aragonés,arg,6.5,7,10000,20000,an,27608,12900267.0,26607848,0,2539.0,0.18,0.0,0,0,0,aff-dic,0.74,arg,81658207,0,14071466,0,5039,0,0,0,0,0,0,0,29.85 c 18.45 es 14.89 o,0
ast,ES,L,Asturian,Spain,Europe,Asturian,Asturianu,ast,6.5,4,100000,450000,ast,18187,16266565.0,22566618,0,3920.0,0.22,0.0,0,0,0,aff-dic,0.74,ast,169021311,0,26665730,0,15827,0,1,1,1,1,0,0,29.30 c 26.54 o 14.20 es,0
cat,ES,L,Catalan,Spain,Europe,Catalan,Català,cat,2.0,0,7220420,5000000,ca,375320,600226967.0,683073831,0,3280.0,0.44,1.0,0,0,0,aff-dic,0.82,cat,17910518,0,2710436,0,399,0,1,1,1,1,1,1,26.57 o 22.43 fr 14.37 c,7
eus,ES,L,Basque,Spain,Europe,Basque,Euskara,eus,2.0,0,657872,0,eu,134613,97933745.0,167754588,0,2625.0,0.26,1.0,0,0,0,aff-dic,0.77,eus,513100981,0,70064414,0,60953,0,1,1,1,1,0,0,80.08 o 16.47 fr 1.20 c,3
ext,ES,L,Extremaduran,Spain,Europe,Extremaduran,Estremeñu,ext,7.0,0,200000,0,ext,2042,1349391.0,2433215,0,2547.0,0.25,0.0,0,0,0,not found,0.0,ext,1626826,0,260832,0,3,0,0,0,0,0,0,0,37.00 o 28.72 c 15.94 es,0
glg,ES,L,Galician,Spain,Europe,Galician,Galego,glg,2.0,0,3185000,0,gl,85947,129295212.0,156187937,0,3742.0,0.37,1.0,0,0,0,aff-dic,0.82,glg,8897327,130994722,1381552,21317889,700,1580,1,1,1,1,0,0,32.82 c 28.05 o 14.26 es,1
spa,ES,L,Spanish,Spain,Europe,Spanish,Español,spa,1.0,0,405638110,60000000,es,893363,1842023729.0,2254178345,0,4450.0,0.45,0.0,1,1,1,aff-dic,0.8,spa,33096365,0,5286881,0,1309,0,1,1,1,1,1,1,31.33 c 28.07 o 10.37 es,207
bar,AT,L,Bavarian,Austria,Europe,Bavarian,Boarisch,bar,5.0,0,13259000,0,bar,5462,6933035.0,10895550,0,3903.0,0.33,0.0,0,0,0,not found,0.0,bar,1948578,0,317560,0,45,0,0,0,0,0,0,0,37.74 de 23.20 o 12.33 c,0
bel,BY,L,Belarusian,Belarus,Europe,Belarusian,Беларуская,bel,1.0,0,7818960,0,be,42155,31630057.0,47559237,0,2703.0,0.28,0.0,0,1,0,aff-dic,0.71,bel,109864019,0,15108746,0,7686,0,1,1,1,1,0,0,43.40 o 13.93 ru 10.34 c,1
cor,GB,L,Cornish,United Kingdom,Europe,Cornish,Kernewek/Karnuack,cor,9.0,7,0,0,kw,2414,444790.0,743459,0,1074.0,0.13,0.0,0,0,0,not found,0.0,cor,1153616,0,193634,0,209,0,0,0,0,0,0,0,46.34 o 15.44 c 9.50 gov,0
