LangID,CountryID,LangStatus,Name_lang,Name_country,Area,Print_Name,language (local),SIL code,Eth_Language Status,end_class,L1,L2,wikiname,articles,adjusted WP size,WP size in chars,WP_incubator_new,avg good page length,real/ total ratio,MS-if-pack,MS-pack,MAC-input,MAC-supp,hunspell status,hunspell coverage,cru1_ISO-639-3,cru1_Characters,cru2_Characters,cru1_Words,cru2_Words,cru1_Docs,cru2_Docs,cru1_UDHR,cru2_UDHR,cru1_FLOSS SplChk,cru2_FLOSS SplChk,cru1_WT,cru2_WT,TLDs(%),la_Primary texts_Online
cym,GB,L,Welsh,United Kingdom,Europe,Welsh,Cymraeg,cym,2.0,0,536890,0,cy,36377,22519170.0,31303370,0,1561.0,0.32,1.0,0,1,0,aff-dic,0.74,cym,371957592,0,62995295,0,41000,0,1,1,1,1,1,1,42.43 uk 25.19 c 23.87 o,7
eng,GB,L,English,United Kingdom,Europe,English,English,eng,1.0,0,334800758,1570000000,en,3957531,9293700753.0,9427733588,0,4146.0,0.49,0.0,1,1,1,aff-dic,0.85,eng,162858928,183678586,26841935,27251280,4577,6750,1,1,1,1,0,0,42.18 o 34.74 c 4.62 uk,347
gla,GB,L,Scottish Gaelic,United Kingdom,Europe,Scottish Gaelic,Gàidhlig,gla,4.0,6,63130,0,gd,10003,2981921.0,5026008,0,2403.0,0.13,0.0,0,0,0,aff-dic,0.66,gla,113970720,0,17510882,0,25044,0,1,1,1,1,1,1,26.05 o 21.29 c 17.20 uk,0
sco,GB,L,Scots,United Kingdom,Europe,Scots,Scots,sco,4.0,0,100000,1500000,sco,9119,8947628.0,10695402,0,2050.0,0.42,0.0,0,0,0,not found,0.0,sco,1730375,0,285478,0,211,0,0,0,0,0,0,0,27.50 c 22.81 o 7.46 uk,0
bos,BA,L,Bosnian,Bosnia and Herzegovina,Europe,Bosnian,Bosanski,bos,3.0,0,2216000,0,bs,32344,45302274.0,51620239,0,2811.0,0.4,1.0,0,0,0,see sr,0.74,bos,68229181,106764818,9704327,15377476,4600,7958,1,1,0,1,0,0,59.40 o 17.59 c 3.35 ba,0
bul,BG,L,Bulgarian,Bulgaria,Europe,Bulgarian,Български,bul,1.0,0,6795150,0,bg,131552,180236237.0,227926871,0,3232.0,0.4,0.0,1,1,0,aff-dic,0.77,bul,28332349,338188624,4252014,51320853,2049,17564,1,1,1,1,1,1,30.32 o 27.59 c 11.27 bg,17
bre,FR,L,Breton,France,Europe,Breton,Brezhoneg,bre,8.0,4,225000,0,br,42385,19713367.0,37477783,0,2924.0,0.14,0.0,0,0,0,aff-dic,0.75,bre,55221336,78040566,9339406,13037688,7480,9720,1,1,1,1,0,0,30.89 c 25.03 o 11.99 fr,421
cos,FR,L,Corsican,France,Europe,Corsican,Corsu,cos,5.0,5,31000,0,co,6249,1383737.0,2665573,0,3270.0,0.06,0.0,0,0,0,not found,0.0,cos,2130583,6966632,367707,1170858,786,272,1,1,0,0,0,0,51.28 fr 13.82 o 12.10 c,36
fra,FR,L,French,France,Europe,French,Français,fra,1.0,0,68458600,50000000,fr,1255217,2170400872.0,2927476069,0,5273.0,0.32,0.0,1,1,1,aff-dic,0.81,fra,43637350,0,7182827,0,349,0,1,1,1,1,1,1,39.46 o 19.90 c 17.30 fr,670
frp,FR,L,Arpitan,France,Europe,Francoprovençal,Arpitan,frp,8.0,7,137000,0,frp,2184,66193.0,397614,0,2644.0,0.01,0.0,0,0,0,not found,0.0,frp,180334,0,27976,0,3,0,0,0,0,0,0,0,51.15 o 15.18 c 5.61 ch,61
oci,FR,L,Occitan,France,Europe,Occitan (post 1500),Occitan,oci,4.0,6,2048310,0,oc,60823,13788406.0,31002347,0,3251.0,0.07,0.0,0,0,0,aff-dic,0.66,oci,16495076,62882048,2622166,10340915,525,3059,1,1,1,1,0,0,75.49 fr 18.62 o 2.54 c,413
pcd,FR,L,Picard,France,Europe,Picard,Picard,pcd,5.0,5,200000,0,pcd,1994,258986.0,1445739,0,7625.0,0.02,0.0,0,0,0,not found,0.0,pcd,1433269,0,233329,0,131,0,1,1,0,0,0,0,42.52 fr 38.84 o 10.51 c,83
ces,CZ,L,Czech,Czechia,Europe,Czech,Čeština,ces,1.0,0,9469340,0,cs,231914,455983146.0,452610155,0,3025.0,0.53,0.0,1,1,0,aff-dic,0.82,ces,9928571,0,1547278,0,232,0,1,1,1,1,1,1,42.75 cz 19.68 o 17.18 c,3
hrv,HR,L,Croatian,Croatia,Europe,Croatian,Hrvatski,hrv,1.0,0,5533890,0,hr,109478,197416889.0,190237823,0,3575.0,0.41,0.0,1,1,0,aff-dic,0.74,hrv,70753681,0,10445569,0,98,0,1,1,1,1,1,1,32.76 o 28.84 c 14.49 hr,25
crh,UA,L,Crimean Tatar,Ukraine,Europe,Crimean Tatar,Qırımtatarca,crh,4.0,0,475540,0,crh,1724,545206.0,804513,0,2293.0,0.12,0.0,0,0,0,fedora no,0.0,crh,2344624,0,302511,0,186,0,0,0,0,0,0,0,63.88 o 16.65 ru 7.83 ua,0
rue,UA,L,Rusyn,Ukraine,Europe,Rusyn,русиньскый язык,rue,6.0,0,623940,0,rue,3618,673496.0,1307487,0,1398.0,0.12,0.0,0,0,0,fedora no,0.0,rue,430936,0,62695,0,4,0,0,0,0,0,0,0,35.49 o 31.36 sk 12.12 info,0
ukr,UA,L,Ukrainian,Ukraine,Europe,Ukrainian,Українська,ukr,1.0,0,32000000,0,uk,385497,435572824.0,569485527,0,3726.0,0.27,0.0,1,1,0,aff-dic,0.77,ukr,23615285,294847113,3185803,38787761,1124,27508,1,1,1,1,1,1,25.25 o 20.54 fr 13.14 ua,1
csb,PL,L,Kashubian,Poland,Europe,Kashubian,Kaszëbsczi,csb,8.0,5,50000,0,csb,3061,464237.0,1073337,0,2180.0,0.07,0.0,0,0,0,aff-dic,0.33,csb,2448989,0,374388,0,501,0,0,0,1,1,0,0,52.69 o 19.89 pl 9.05 c,0
epo,PL,L,Esperanto,Poland,Europe,Esperanto,Esperanto,epo,6.0,0,0,2000000,eo,164979,159475107.0,191845697,0,2480.0,0.32,0.0,0,0,0,aff-dic,0.73,epo,22477261,0,3518802,0,1272,0,1,1,1,1,0,0,36.82 o 13.13 c 6.93 de,0
pol,PL,L,Polish,Poland,Europe,Polish,Polski,pol,1.0,0,39042570,0,pl,898700,831827590.0,1224409973,0,3061.0,0.29,0.0,1,1,1,aff-dic,0.82,pol,67650637,0,9444239,0,6515,0,1,1,1,1,1,1,33.24 o 27.47 pl 17.03 c,7
szl,PL,L,Silesian,Poland,Europe,Silesian,Ślůnski,szl,6.0,5,60000,0,szl,2030,613240.0,1524428,0,1219.0,0.24,0.0,0,0,0,not found,0.0,szl,1978497,0,271917,0,90,0,0,0,0,0,0,0,30.47 o 24.39 pl 15.03 de,0
dan,DK,L,Danish,Denmark,Europe,Danish,Dansk,dan,1.0,0,5592490,0,da,164459,173859857.0,251332582,0,3592.0,0.29,0.0,1,1,1,aff-dic,0.82,dan,31416843,0,4763501,0,1731,0,1,1,1,1,1,1,32.17 dk 28.43 o 19.54 c,18
deu,DE,L,"German, Standard",Germany,Europe,German,Deutsch,deu,1.0,0,83812810,28000000,de,1413256,3204332778.0,3983591459,0,4178.0,0.54,0.0,1,1,1,aff-dic,0.82,deu,30041806,0,4116353,0,1094,0,1,1,1,1,1,1,34.10 de 25.39 o 15.33 c,33
dsb,DE,L,"Sorbian, Lower",Germany,Europe,Lower Sorbian,Dolnoserbski,dsb,7.0,6,6860,0,dsb,1361,794136.0,1372622,0,2426.0,0.18,0.0,0,0,0,aff-dic,0.65,dsb,12547,1052012,1785,149360,1,2,1,1,1,1,0,0,46.65 o 31.74 de 6.88 c,1
frr,DE,L,"Frisian, Northern",Germany,Europe,North Frisian,Nordfriisk,frr,7.0,6,10000,0,frr,2133,318582.0,951219,0,2155.0,0.06,0.0,0,0,0,just fy_NL for Frisian,0.18,frr,907440,0,147926,0,69,0,0,0,0,0,0,0,49.67 o 22.09 de 8.75 c,0
hsb,DE,L,"Sorbian, Upper",Germany,Europe,Upper Sorbian,Hornjoserbsce,hsb,4.0,5,13490,0,hsb,7354,1560863.0,6554876,0,2667.0,0.07,0.0,0,0,0,hsb_DE in myspell,0.63,hsb,5573841,8127810,803335,1166050,456,819,0,0,1,1,0,0,47.18 de 32.47 o 4.76 c,19
ksh,DE,L,Ripuarian,Germany,Europe,Kölsch,Ripoarisch,ksh,6.0,0,250000,0,ksh,2597,998196.0,2323048,0,2349.0,0.16,0.0,0,0,0,not found,0.0,ksh,2052361,0,323534,0,12,0,0,0,0,0,0,0,79.87 n 11.12 o 4.75 de,0
nds,DE,L,"Saxon, Low",Germany,Europe,Low Saxon,Nedersaksisch,nds,5.0,0,1000,0,nds-nl,4766,4764970.0,7298453,0,2937.0,0.34,0.0,0,0,0,not found,0.0,nds,11802804,0,1836589,0,1578,0,0,0,1,1,1,1,33.37 nl 23.00 o 22.69 c,0
pfl,DE,L,Palatinate Franconian,Germany,Europe,Pfaelzisch,Pfälzisch,pfl,6.0,0,0,0,pfl,1760,1020237.0,1842999,0,3695.0,0.16,0.0,0,0,0,just de_DE,0.33,pfl,677611,0,103983,0,1,0,0,0,0,0,0,0,41.40 fr 36.86 o 15.18 de,0
stq,DE,L,Saterfriesisch,Germany,Europe,Frisian,Seeltersk,stq,7.0,6,1000,0,stq,2303,967358.0,2050688,0,2712.0,0.15,0.0,0,0,0,not found,0.0,stq,5855510,0,926940,0,399,0,0,0,0,0,0,0,39.06 de 27.59 o 13.50 c,0
vmf,DE,L,Eastern Franconian,Germany,Europe,Mainfränkisch,0,0,5.0,0,4910000,0,0,137,150589.0,206802,1,3204.0212766,0.343065693431,0.0,0,0,0,0,0.0,vmf,202081,0,33915,0,185,0,0,0,0,0,0,0,0,0
mwl,PT,L,Mirandese,Portugal,Europe,Mirandese,Mirandés,mwl,2.0,5,15000,0,mwl,730,6418105.0,10567800,0,12243.0,0.66,0.0,0,0,0,not found,0.0,mwl,22096978,0,3727220,0,718,0,0,0,0,0,0,0,22.88 o 12.02 br 11.59 c,0
por,PT,L,Portuguese,Portugal,Europe,Portuguese,Português,por,1.0,0,202468100,15000000,pt,736735,789692383.0,1019886883,0,3947.0,0.25,0.0,1,1,1,aff-dic,0.77,por,69381494,0,10932971,0,3835,0,1,1,1,1,1,1,28.33 c 27.74 o 11.92 br,8
ekk,EE,L,"Estonian, Standard",Estonia,Europe,Standard Estonian,0,0,1.0,0,953000,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,ekk,17855824,0,2287109,0,2177,0,1,1,1,1,1,1,0,0
vro,EE,L,Võro,Estonia,Europe,Võro,Võro,vro,6.5,5,60000,0,fiu-vro,4823,712199.0,2052010,0,2647.0,0.05,0.0,0,0,0,not found,0.0,vro,2665934,0,407527,0,136,0,0,0,0,0,0,0,25.82 ee 19.11 c 18.54 o,0
fao,FO,L,Faroese,Faroe Islands,Europe,Faroese,Føroyskt,fao,2.0,0,66150,0,fo,5476,4486375.0,4729198,0,2005.0,0.32,0.0,0,1,0,aff-dic,0.77,fao,58245804,0,8992627,0,8413,0,1,1,1,1,1,1,28.41 fo 23.43 c 16.71 o,1
fin,FI,L,Finnish,Finland,Europe,Finnish,Suomi,fin,1.0,0,4994490,0,fi,298038,321350734.0,487403084,0,3371.0,0.34,0.0,1,1,1,Voikko,0.0,fin,76959498,0,9413969,0,3069,0,1,1,1,1,1,1,30.53 fi 29.84 c 15.78 o,3
smn,FI,L,"Saami, Inari",Finland,Europe,Inari Sami,0,0,2.0,7,300,0,0,27,0.0,1054,1,0.0,0.0,0.0,0,0,0,0,0.0,0,0,303203,0,32678,0,53,1,0,0,0,1,0,0,0
sms,FI,L,"Saami, Skolt",Finland,Europe,Skolt Sami,0,0,7.0,8,300,0,0,17,0.0,585,1,0.0,0.0,0.0,0,0,0,0,0.0,0,0,8775,0,1034,0,2,1,0,0,0,1,0,0,0
sma,SE,L,"Saami, South",Sweden,Europe,Southern Sami,0,0,7.7,7,600,0,0,150,0.0,19211,1,0.0,0.0,0.0,0,0,0,0,0.0,sma,800285,1429796,91085,162765,44,177,0,0,1,1,0,0,0,0
smj,SE,L,"Saami, Lule",Sweden,Europe,Lule Sami,0,0,7.7,7,2000,0,0,9,0.0,425,1,0.0,0.0,0.0,0,0,0,0,0.0,smj,1503372,1710434,205227,244675,38,88,0,0,1,1,0,0,0,0
swe,SE,L,Swedish,Sweden,Europe,Swedish,Svenska,swe,1.0,0,8381829,0,sv,469045,396940483.0,586835742,0,2821.0,0.29,0.0,1,1,1,aff-dic,0.83,swe,29098336,0,4346358,0,1596,0,1,1,1,1,1,1,28.64 o 28.13 se 20.00 c,13
fkv,NO,L,"Finnish, Kven",Norway,Europe,Kven Finnish,0,0,4.0,6,5000,0,0,228,0.0,13127,1,0.0,0.0,0.0,0,0,0,0,0.0,fkv,73348,0,9332,0,16,0,0,0,0,0,0,0,0,0
nor,NO,L,Norwegian,Norway,Europe,Norwegian,0,0,1.0,0,4741780,0,0,0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,nor,29491194,0,4498017,0,2001,0,0,0,1,1,0,0,0,4
sme,NO,L,"Saami, North",Norway,Europe,Northern Sami,Sámegiella,sme,2.0,5,15000,0,se,4207,443002.0,1337756,0,3776.0,0.03,0.0,0,1,0,aff-dic,0.7,sme,58605840,0,7483088,0,5012,0,1,1,1,1,0,0,29.53 o 29.02 no 15.27 fi,1
gag,MD,L,Gagauz,Moldova,Europe,Gagauz,Gagauz,gag,5.0,5,173920,0,gag,1910,633553.0,1512923,0,4167.0,0.07,0.0,0,0,0,not found,0.0,gag,295105,0,37524,0,2,0,1,1,0,0,0,0,70.62 o 9.14 c 3.10 info,0
gle,IE,L,Irish,Ireland,Europe,Irish,Gaeilge,gle,6.5,5,106210,20000,ga,14672,14246731.0,17459930,0,3198.0,0.28,1.0,0,1,0,aff-dic,0.81,gle,1085651160,1085651160,98075797,98075797,142008,142008,1,1,1,1,1,1,33.63 o 22.65 c 14.40 ie,6
glv,IM,L,Manx,Isle of Man,Europe,Manx,Gaelg,glv,8.5,8,0,0,gv,3993,1922177.0,2954678,0,2139.0,0.21,0.0,0,0,0,aff-dic,0.0,glv,11144650,10969093,1758290,1833439,1219,386,0,0,1,1,0,0,57.81 o 11.51 c 6.57 uk,2
gsw,CH,L,"German, Swiss",Switzerland,Europe,Alsatian,Alemannisch,gsw,5.0,0,6469000,0,als,11613,18988956.0,26284131,0,3985.0,0.41,0.0,0,0,0,not found,0.0,gsw,7084851,0,1103803,0,117,0,0,0,0,0,0,0,28.88 o 26.48 de 13.78 ch,77
roh,CH,L,Romansh,Switzerland,Europe,Romansh,0,0,4.0,6,35139,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,roh,3153083,24612330,460557,3700504,95,2683,1,1,0,0,1,1,0,2
hun,HU,L,Hungarian,Hungary,Europe,Hungarian,Magyar,hun,1.0,0,12319330,0,hu,217598,429322652.0,551853937,0,4833.0,0.42,0.0,1,1,0,aff-dic,0.77,hun,28307122,0,3904048,0,500,0,1,1,1,1,1,1,29.21 hu 24.05 c 21.58 o,9
isl,IS,L,Icelandic,Iceland,Europe,Icelandic,Íslenska,isl,1.0,0,243840,0,is,34054,32816839.0,37455316,0,2269.0,0.36,1.0,0,1,0,aff-dic,0.84,isl,56468427,0,9009153,0,4010,0,1,1,1,1,1,1,54.87 is 15.66 c 14.83 o,2
lit,LT,L,Lithuanian,Lithuania,Europe,Lithuanian,Lietuvių,lit,1.0,0,3130970,0,lt,150970,110227836.0,164973266,0,2636.0,0.25,0.0,1,1,0,aff-dic,0.73,lit,47733705,0,6103928,0,5261,0,1,1,1,1,1,1,34.52 o 25.50 lt 19.17 c,1
sgs,LT,L,Samogitian,Lithuania,Europe,Samogitian,Žemaitėška,sgs,7.7,0,0,0,bat-smg,13211,481029.0,3008237,0,1614.0,0.02,0.0,0,0,0,not found,0.0,sgs,2445408,0,281417,0,3,0,0,0,0,0,0,0,37.45 lt 23.73 o 17.51 c,0
lat,VA,L,Latin,Vatican State,Europe,Latin,Latina,lat,3.0,0,0,0,la,74734,26494349.0,52518761,0,1933.0,0.15,0.0,0,0,0,aff-dic,0.54,lat,44610873,0,6286724,0,250,0,1,1,1,1,0,0,20.43 o 17.25 gov 11.94 edu,1
ltg,LV,L,Latgalian,Latvia,Europe,Latgalian,Latgaļu,ltg,4.0,0,200000,0,ltg,725,317467.0,622396,0,1964.0,0.2,0.0,0,0,0,OpenOffice Extensions ,0.0,ltg,1646739,5501335,219148,752547,49,693,0,0,0,1,0,0,55.52 lv 22.80 o 4.08 c,0
lvs,LV,L,"Latvian, Standard",Latvia,Europe,Standard Latvian,Latviešu,lvs,1.0,0,1272650,0,lv,41908,56051992.0,64226853,0,2765.0,0.43,0.0,1,0,0,aff-dic,0.77,lvs,10939992,0,1574738,0,303,0,1,1,1,1,1,1,26.82 c 21.85 o 21.82 lv,0
ltz,LU,L,Luxembourgish,Luxembourg,Europe,Luxembourgish,Lëtzebuergesch,ltz,4.0,0,320710,50000,lb,36183,14462467.0,35301403,0,3574.0,0.11,1.0,0,0,0,OpenOffice.org 3.x Extension,0.0,ltz,7582403,0,1133498,0,688,0,1,1,1,1,1,1,33.72 o 20.47 lu 11.55 c,1
mlt,MT,L,Maltese,Malta,Europe,Maltese,Malti,mlt,1.0,0,429000,0,mt,3002,6947116.0,8093214,0,5525.0,0.4,1.0,0,1,0,aff-dic,0.0,mlt,65742510,0,8952294,0,5915,0,1,1,1,1,1,1,42.79 c 25.7 o 8.16 uk,2
mkd,MK,L,Macedonian,North Macedonia,Europe,Macedonian,Македонски,mkd,1.0,0,1710670,0,mk,55928,103139633.0,96557147,0,5185.0,0.31,1.0,0,1,0,aff-dic,0.79,mkd,25388177,0,3885034,0,3139,0,1,1,1,1,1,1,44.66 o 23.54 c 5.87 mk,32
rup,MK,L,Aromanian,North Macedonia,Europe,Aromanian,Armãneashce,rup,6.5,6,50000,0,roa-rup,61657,799416.0,7213209,0,11638.0,0.0,1.0,0,0,0,myspell-hy,0.44,rup,91232,0,13759,0,2,0,0,0,0,0,0,0,58.50 o 8.97 c 3.90 n,0
slk,SK,L,Slovak,Slovakia,Europe,Slovak,Slovenčina,slk,1.0,0,5007650,0,sk,173508,136136166.0,174054071,0,2793.0,0.23,0.0,1,1,0,aff-dic,0.79,slk,17498819,0,2624034,0,1339,0,1,1,1,1,1,1,31.71 fr 21.92 o 13.39 sk,1
rmn,RS,L,"Romani, Balkan",Serbia,Europe,Balkan Romani,0,0,5.0,4,617000,200000,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,rmn,51877,0,8331,0,18,0,0,0,0,0,1,1,0,8
srp,RS,L,Serbian,Serbia,Europe,Serbian,Српски / Srpski,srp,1.0,0,9262890,0,sr,160020,199594508.0,219333594,0,3223.0,0.3,0.0,1,1,0,aff-dic,0.72,srp,55638206,0,8326943,0,5852,0,1,1,1,1,1,1,32.00 o 21.68 c 15.55 de,1
rmy,RO,L,"Romani, Vlax",Romania,Europe,Vlax Romani,0,0,6.5,4,540780,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,rmy,888577,0,127318,0,24,0,1,1,0,0,0,0,0,0
ron,RO,L,Romanian,Romania,Europe,Romanian,Молдовеняскэ,ron,1.0,0,23623890,0,mo,401,206483.0,318298,0,4482.0,0.11,0.0,0,1,0,not found,0.0,ron,43662167,0,6647301,0,1542,0,1,1,1,1,1,1,39.28 o 20.15 c 9.69 md,6
vls,BE,L,West Flemish,Belgium,Europe,Vlaams,West-Vlams,vls,6.5,0,1204000,0,vls,4446,2261504.0,5635616,0,3042.0,0.18,0.0,0,0,0,not found,0.0,vls,1495667,0,239171,0,187,0,0,0,0,0,0,0,35.71 be 19.65 o 19.27 c,1
wln,BE,L,Walloon,Belgium,Europe,Walloon,Walon,wln,6.5,6,600000,0,wa,12399,1602744.0,6006985,0,4146.0,0.03,0.0,0,0,0,aff-dic,0.72,wln,13538741,0,2062929,0,624,0,1,1,1,1,0,0,56.37 o 14.85 be 14.32 c,0
slv,SI,L,Slovene,Slovenia,Europe,Slovenian,Slovenščina,slv,1.0,0,1906630,0,sl,133689,112089164.0,144641352,0,2940.0,0.24,0.0,1,1,0,aff-dic,0.8,slv,12260322,0,1767716,0,1214,0,1,1,1,1,1,1,28.27 si 20.00 c 15.72 o,2
