ind_type,unit,indic_is,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
IND_TOTAL,PC_IND,I_ILT12,AL	: 	: 	: 	: 	: 	: 	: 	: 	65 	70 	: 	: 
IND_TOTAL,PC_IND,I_ILT12,AT	75 	80 	81 	82 	82 	85 	85 	88 	88 	88 	89 	93 
IND_TOTAL,PC_IND,I_ILT12,BA	: 	: 	: 	: 	: 	: 	: 	: 	72 	71 	74 	77 
IND_TOTAL,PC_IND,I_ILT12,BE	79 	83 	82 	83 	86 	86 	87 	89 	90 	91 	92 	94 
IND_TOTAL,PC_IND,I_ILT12,BG	46 	51 	55 	56 	59 	60 	62 	66 	67 	71 	74 	78 
IND_TOTAL,PC_IND,I_ILT12,CH	: 	: 	: 	: 	91 	: 	: 	95 b	: 	97 	: 	98 
IND_TOTAL,PC_IND,I_ILT12,CY	53 	58 	61 	66 	70 	72 	76 	81 	85 	86 	91 	91 
IND_TOTAL,PC_IND,I_ILT12,CZ	69 	73 	76 	76 	81 	83 	83 	85 	87 	88 	89 	90 
IND_TOTAL,PC_IND,I_ILT12,DE	82 	83 	84 	86 	88 	89 	91 	91 	93 	94 	95 	92 b
IND_TOTAL,PC_IND,I_ILT12,DK	89 	91 	93 	95 	96 	97 	97 	97 	98 	97 	99 	99 
IND_TOTAL,PC_IND,I_ILT12,EA	71 	74 	76 	78 	80 	82 	83 	85 	87 	89 	90 e	90 e
IND_TOTAL,PC_IND,I_ILT12,EE	75 	77 	79 	81 	86 b	89 	88 	89 	90 	91 	90 	92 
IND_TOTAL,PC_IND,I_ILT12,EL	46 	53 	56 	61 	65 	68 	70 	70 	73 	76 	79 	79 
IND_TOTAL,PC_IND,I_ILT12,ES	66 	69 	72 	74 	77 	80 	81 	85 	87 	91 	93 	94 
IND_TOTAL,PC_IND,I_ILT12,EU27_2007	71 	73 	75 	77 	80 	81 	84 	85 	87 	: 	: 	: 
IND_TOTAL,PC_IND,I_ILT12,EU27_2020	69 	71 	74 	75 	78 	80 	82 	84 	85 	87 	89 e	90 e
IND_TOTAL,PC_IND,I_ILT12,EU28	71 	73 	75 	77 	80 	81 	84 	85 	87 	88 	: 	: 
IND_TOTAL,PC_IND,I_ILT12,FI	87 	89 	91 	92 	93 	93 	94 	94 	95 	95 	97 	97 
IND_TOTAL,PC_IND,I_ILT12,FR	77 	80 	83 	84 	86 	87 	88 	88 	89 	91 	: 	93 
IND_TOTAL,PC_IND,I_ILT12,HR	57 	60 	63 	68 	70 	71 	74 	69 	76 	80 	80 	82 
IND_TOTAL,PC_IND,I_ILT12,HU	64 	70 	72 	74 	77 	76 	81 	79 	79 	83 	86 	89 
IND_TOTAL,PC_IND,I_ILT12,IE	70 	77 	79 	80 	82 	82 	83 	82 	84 	91 	92 	99 b
IND_TOTAL,PC_IND,I_ILT12,IS	: u	95 	96 	97 	98 	: 	: 	98 	99 	99 	99 	100 
IND_TOTAL,PC_IND,I_ILT12,IT	54 	57 	58 	61 	64 	68 	71 	73 	77 	78 	81 	: 
IND_TOTAL,PC_IND,I_ILT12,LT	62 	64 	67 	69 	73 	72 	75 	79 	81 	82 	84 	88 
IND_TOTAL,PC_IND,I_ILT12,LU	91 	91 	92 	95 	95 	98 	98 	97 	97 b	97 	99 	99 
IND_TOTAL,PC_IND,I_ILT12,LV	68 	72 	74 	76 	77 	80 	81 b	82 	85 	87 	90 	92 
IND_TOTAL,PC_IND,I_ILT12,ME	: 	: 	59 	: 	: 	: 	: 	73 	74 	76 	79 	83 
IND_TOTAL,PC_IND,I_ILT12,MK	54 	: 	60 	66 	70 	73 	75 	76 	80 	82 	84 	: 
IND_TOTAL,PC_IND,I_ILT12,MT	63 	69 	70 	71 	75 	78 	79 	81 	82 	86 	87 	88 
IND_TOTAL,PC_IND,I_ILT12,NL	91 	92 	93 	94 	94 	94 	94 	96 	95 	96 	95 	95 
IND_TOTAL,PC_IND,I_ILT12,NO	93 	94 	95 	96 	97 	97 	98 	98 	98 	99 	98 	100 
IND_TOTAL,PC_IND,I_ILT12,PL	62 	65 	65 	65 	69 	70 	75 	78 	79 	82 	85 	87 
IND_TOTAL,PC_IND,I_ILT12,PT	53 	58 	64 	65 	67 	70 	71 	75 	75 	76 	79 	83 
IND_TOTAL,PC_IND,I_ILT12,RO	40 	44 	50 	55 	59 b	62 	66 	70 	77 	80 	85 	88 
IND_TOTAL,PC_IND,I_ILT12,RS	: 	: 	: 	: 	: 	66 	: 	72 	75 	79 	80 	84 
IND_TOTAL,PC_IND,I_ILT12,SE	92 	94 	94 	95 	93 	92 	95 b	97 	93 	98 	97 	97 
IND_TOTAL,PC_IND,I_ILT12,SI	70 	69 	70 	74 	74 	75 	76 	80 	81 	84 	88 	90 
IND_TOTAL,PC_IND,I_ILT12,SK	79 	78 	80 	81 	83 	81 	83 	83 	83 	85 	91 	90 
IND_TOTAL,PC_IND,I_ILT12,TR	40 	: 	45 	46 	51 	54 	59 	66 	72 	75 	78 	82 
IND_TOTAL,PC_IND,I_ILT12,UK	85 	87 	89 	91 	92 	93 	95 	95 	95 	96 	98 	: 
IND_TOTAL,PC_IND,I_ILT12,XK	: 	: 	: 	: 	: 	: 	: 	86 	88 	91 	97 	: 
IND_TOTAL,PC_IND,I_IU3,AL	: 	: 	: 	: 	: 	: 	: 	: 	63 	69 	: 	: 
IND_TOTAL,PC_IND,I_IU3,AT	74 	79 	80 	81 	81 	84 	84 	88 	87 	88 	88 	93 
IND_TOTAL,PC_IND,I_IU3,BA	: 	: 	: 	: 	: 	: 	: 	: 	70 	70 	73 	76 
IND_TOTAL,PC_IND,I_IU3,BE	78 	82 	81 	82 	85 	85 	87 	88 	89 	90 	92 	93 
IND_TOTAL,PC_IND,I_IU3,BG	43 	48 	52 	53 	55 	57 	59 	63 	65 	68 	70 	75 
IND_TOTAL,PC_IND,I_IU3,CH	: 	: 	: 	: 	90 	: 	: 	94 b	: 	97 	: 	98 
IND_TOTAL,PC_IND,I_IU3,CY	52 	57 	61 	65 	69 	72 	76 	81 	84 	86 	91 	91 
IND_TOTAL,PC_IND,I_IU3,CZ	66 	70 	74 	74 	80 	81 	82 	85 	87 	87 	88 	89 
IND_TOTAL,PC_IND,I_IU3,DE	80 	81 	82 	84 	86 	88 	90 	90 	92 	93 	94 	91 b
IND_TOTAL,PC_IND,I_IU3,DK	88 	90 	92 	95 	96 	96 	97 	97 	98 	97 	99 	99 
IND_TOTAL,PC_IND,I_IU3,EA	69 	72 	74 	76 	78 	80 	82 	84 	86 	87 	89 e	89 e
IND_TOTAL,PC_IND,I_IU3,EE	74 	76 	78 	79 	84 b	88 	87 	88 	89 	90 	89 	91 
IND_TOTAL,PC_IND,I_IU3,EL	44 	52 	55 	60 	63 	67 	69 	70 	72 	76 	78 	78 
IND_TOTAL,PC_IND,I_IU3,ES	64 	66 	69 	72 	76 	79 	81 	85 	86 	91 	93 	94 
IND_TOTAL,PC_IND,I_IU3,EU27_2007	69 	71 	74 	75 	78 	80 	82 	84 	85 	: 	: 	: 
IND_TOTAL,PC_IND,I_IU3,EU27_2020	67 	69 	72 	73 	76 	78 	80 	82 	84 	86 	88 e	89 e
IND_TOTAL,PC_IND,I_IU3,EU28	68 	71 	73 	75 	78 	79 	82 	84 	85 	87 	: 	: 
IND_TOTAL,PC_IND,I_IU3,FI	86 	89 	90 	92 	92 	92 	94 	94 	94 	95 	97 	97 
IND_TOTAL,PC_IND,I_IU3,FR	75 	78 	81 	82 	84 	85 	86 	87 	88 	89 	: 	92 
IND_TOTAL,PC_IND,I_IU3,HR	54 	58 	62 	67 	69 	70 	73 	67 	75 	79 	78 	81 
IND_TOTAL,PC_IND,I_IU3,HU	61 	67 	70 	72 	76 	73 	79 	77 	76 	80 	85 	89 
IND_TOTAL,PC_IND,I_IU3,IE	67 	75 	77 	78 	80 	80 	82 	81 	82 	90 	91 	99 b
IND_TOTAL,PC_IND,I_IU3,IS	93 	95 	96 	97 	98 	: 	: 	98 	99 	99 	99 	99 
IND_TOTAL,PC_IND,I_IU3,IT	51 	54 	56 	58 	62 	66 	69 	71 	74 	76 	78 	: 
IND_TOTAL,PC_IND,I_IU3,LT	60 	63 	66 	68 	72 	71 	74 	78 	80 	82 	83 	87 
IND_TOTAL,PC_IND,I_IU3,LU	90 	90 	92 	94 	95 	97 	97 	97 	97 b	96 	98 	99 
IND_TOTAL,PC_IND,I_IU3,LV	66 	70 	73 	75 	76 	79 	80 b	81 	84 	86 	89 	91 
IND_TOTAL,PC_IND,I_IU3,ME	: 	: 	57 	: 	: 	: 	: 	71 	72 	73 	78 	82 
IND_TOTAL,PC_IND,I_IU3,MK	52 	: 	57 	65 	68 	70 	72 	75 	79 	81 	81 	: 
IND_TOTAL,PC_IND,I_IU3,MT	62 	68 	69 	69 	74 	77 	78 	81 	82 	86 	87 	87 
IND_TOTAL,PC_IND,I_IU3,NL	90 	91 	93 	94 	93 	93 	93 	95 	95 	96 	94 	95 
IND_TOTAL,PC_IND,I_IU3,NO	93 	93 	95 	95 	96 	97 	97 	98 	97 	98 	98 	99 
IND_TOTAL,PC_IND,I_IU3,PL	59 	62 	62 	63 	67 	68 	73 	76 	78 	80 	83 	85 
IND_TOTAL,PC_IND,I_IU3,PT	51 	55 	60 	62 	65 	69 	70 	74 	75 	75 	78 	82 
IND_TOTAL,PC_IND,I_IU3,RO	36 	40 	46 	50 	54 b	56 	60 	64 	71 	74 	78 	84 
IND_TOTAL,PC_IND,I_IU3,RS	: 	: 	: 	: 	: 	65 	: 	70 	73 	77 	79 	81 
IND_TOTAL,PC_IND,I_IU3,SE	91 	93 	93 	95 	93 	91 	93 b	96 	92 	98 	97 	97 
IND_TOTAL,PC_IND,I_IU3,SI	68 	67 	68 	73 	72 	73 	75 	79 	80 	83 	87 	89 
IND_TOTAL,PC_IND,I_IU3,SK	76 	74 	77 	78 	80 	78 	80 	82 	80 	83 	90 	89 
IND_TOTAL,PC_IND,I_IU3,TR	38 	: 	43 	43 	48 	52 	58 	65 	71 	74 	78 	81 
IND_TOTAL,PC_IND,I_IU3,UK	83 	85 	87 	90 	92 	92 	95 	95 	95 	96 	97 	: 
IND_TOTAL,PC_IND,I_IU3,XK	: 	: 	: 	: 	: 	: 	: 	83 	87 	91 	96 	: 
IND_TOTAL,PC_IND,I_IUEVR,AL	: 	: 	: 	: 	: 	: 	: 	: 	67 	73 	: 	: 
IND_TOTAL,PC_IND,I_IUEVR,AT	77 	82 	83 	84 	85 	87 	87 	90 	90 	90 	92 	94 
IND_TOTAL,PC_IND,I_IUEVR,BA	: 	: 	: 	: 	: 	: 	: 	: 	76 	74 	77 	80 
IND_TOTAL,PC_IND,I_IUEVR,BE	81 	84 	83 	84 	87 	87 	88 	90 	91 	93 	94 	95 
IND_TOTAL,PC_IND,I_IUEVR,BG	49 	54 	58 	59 	63 	65 	67 	70 	73 	76 	79 	83 
IND_TOTAL,PC_IND,I_IUEVR,CH	: 	: 	: 	: 	92 	: 	: 	96 b	: 	97 	: 	99 
IND_TOTAL,PC_IND,I_IUEVR,CY	55 	59 	64 	68 	72 	74 	77 	82 	85 	87 	91 	91 
IND_TOTAL,PC_IND,I_IUEVR,CZ	72 	76 	80 	80 	84 	87 	87 	89 	90 	91 	92 	93 
IND_TOTAL,PC_IND,I_IUEVR,DE	83 	84 	85 	87 	89 	90 	92 	93 	95 	95 	96 	94 b
IND_TOTAL,PC_IND,I_IUEVR,DK	90 	92 	94 	96 	97 	97 	98 	98 	98 	98 	99 	99 
IND_TOTAL,PC_IND,I_IUEVR,EA	73 	76 	78 	80 	82 	84 	85 	87 	89 	91 	92 e	92 e
IND_TOTAL,PC_IND,I_IUEVR,EE	78 	80 	80 	84 	87 b	91 	90 	91 	92 	93 	91 	93 
IND_TOTAL,PC_IND,I_IUEVR,EL	48 	55 	58 	64 	67 	70 	72 	72 	75 	78 	80 	80 
IND_TOTAL,PC_IND,I_IUEVR,ES	68 	71 	73 	76 	79 	81 	83 	86 	87 	92 	94 	95 
IND_TOTAL,PC_IND,I_IUEVR,EU27_2007	73 	75 	77 	79 	82 	83 	85 	87 	89 	: 	: 	: 
IND_TOTAL,PC_IND,I_IUEVR,EU27_2020	71 	73 	75 	77 	80 	82 	84 	86 	88 	89 	91 e	92 e
IND_TOTAL,PC_IND,I_IUEVR,EU28	73 	75 	77 	79 	82 	83 	85 	87 	89 	90 	: 	: 
IND_TOTAL,PC_IND,I_IUEVR,FI	89 	91 	93 	94 	94 	94 	96 	95 	95 	97 	98 	98 
IND_TOTAL,PC_IND,I_IUEVR,FR	80 	82 	85 	86 	88 	89 	90 	90 	92 	93 	: 	95 
IND_TOTAL,PC_IND,I_IUEVR,HR	58 	61 	65 	71 	72 	74 	77 	72 	79 	82 	83 	85 
IND_TOTAL,PC_IND,I_IUEVR,HU	67 	71 	74 	76 	78 	79 	81 	83 	84 	86 	88 	90 
IND_TOTAL,PC_IND,I_IUEVR,IE	73 	79 	82 	82 	84 	84 	85 	84 	84 	91 	94 	100 b
IND_TOTAL,PC_IND,I_IUEVR,IS	: u	96 	97 	97 	99 	: 	: 	99 	99 	100 	100 	100 
IND_TOTAL,PC_IND,I_IUEVR,IT	56 	60 	61 	64 	67 	70 	73 	77 	81 	82 	84 	: 
IND_TOTAL,PC_IND,I_IUEVR,LT	65 	66 	69 	71 	75 	75 	78 	81 	83 	85 	86 	89 
IND_TOTAL,PC_IND,I_IUEVR,LU	92 	92 	94 	95 	96 	98 	98 	98 	97 b	97 	99 	99 
IND_TOTAL,PC_IND,I_IUEVR,LV	71 	73 	76 	78 	79 	82 	83 b	84 	87 	88 	92 	94 
IND_TOTAL,PC_IND,I_IUEVR,ME	: 	: 	63 	: 	: 	: 	: 	76 	77 	80 	81 	86 
IND_TOTAL,PC_IND,I_IUEVR,MK	56 	: 	61 	67 	71 	74 	77 	79 	82 	83 	86 	: 
IND_TOTAL,PC_IND,I_IUEVR,MT	64 	70 	71 	72 	76 	79 	79 	82 	83 	87 	88 	88 
IND_TOTAL,PC_IND,I_IUEVR,NL	92 	93 	94 	95 	95 	96 	95 	97 	96 	98 	96 	97 
IND_TOTAL,PC_IND,I_IUEVR,NO	94 	95 	96 	97 	97 	98 	98 	99 	99 	99 	99 	100 
IND_TOTAL,PC_IND,I_IUEVR,PL	65 	67 	68 	68 	72 	73 	78 	80 	82 	85 	87 	89 
IND_TOTAL,PC_IND,I_IUEVR,PT	54 	59 	66 	67 	70 	72 	74 	78 	77 	78 	82 	84 
IND_TOTAL,PC_IND,I_IUEVR,RO	43 	46 	52 	58 	61 b	68 	70 	73 	79 	82 	86 	89 
IND_TOTAL,PC_IND,I_IUEVR,RS	: 	: 	: 	: 	: 	69 	: 	74 	76 	81 	83 	90 
IND_TOTAL,PC_IND,I_IUEVR,SE	93 	95 	95 	96 	94 	94 	97 b	98 	95 	98 	98 	98 
IND_TOTAL,PC_IND,I_IUEVR,SI	72 	71 	72 	77 	76 	78 	78 	82 	84 	87 	89 	93 
IND_TOTAL,PC_IND,I_IUEVR,SK	83 	80 	82 	85 	85 	84 	85 	86 	87 	88 	93 	92 
IND_TOTAL,PC_IND,I_IUEVR,TR	42 	: 	47 	49 	54 	56 	61 	67 	73 	75 	79 	83 
IND_TOTAL,PC_IND,I_IUEVR,UK	87 	89 	90 	92 	94 	94 	96 	96 	96 	97 	98 	: 
IND_TOTAL,PC_IND,I_IUEVR,XK	: 	: 	: 	: 	: 	: 	: 	87 	89 	92 	98 	: 
IND_TOTAL,PC_IND,I_IUX,AL	: 	: 	: 	: 	: 	: 	: 	: 	33 	27 	: 	: 
IND_TOTAL,PC_IND,I_IUX,AT	23 	18 	17 	16 	15 	13 	13 	10 	10 	10 	8 	6 
IND_TOTAL,PC_IND,I_IUX,BA	: 	: 	: 	: 	: 	: 	: 	: 	24 	26 	23 	20 
IND_TOTAL,PC_IND,I_IUX,BE	18 	14 	15 	15 	13 	13 	11 	10 	9 	7 	6 	5 
IND_TOTAL,PC_IND,I_IUX,BG	51 	46 	42 	41 	37 	35 	33 	30 	27 	24 	21 	17 
IND_TOTAL,PC_IND,I_IUX,CH	: 	: 	: 	: 	8 	: 	: 	4 b	: 	3 	: 	1 
IND_TOTAL,PC_IND,I_IUX,CY	45 	41 	36 	32 	28 	26 	23 	18 	15 	13 	9 	9 
IND_TOTAL,PC_IND,I_IUX,CZ	28 	24 	18 	17 	16 	13 	13 	11 	10 	9 	8 	7 
IND_TOTAL,PC_IND,I_IUX,DE	17 	16 	15 	13 	11 	10 	8 	7 	5 	5 	4 	6 b
IND_TOTAL,PC_IND,I_IUX,DK	9 	7 	6 	4 	3 	3 	2 	2 	2 	2 	1 	1 
IND_TOTAL,PC_IND,I_IUX,EA	26 	24 	22 	20 	18 	16 	14 	13 	11 	9 	8 e	8 e
IND_TOTAL,PC_IND,I_IUX,EE	22 	20 	20 	16 	12 b	9 	10 	9 	8 	7 	9 	7 
IND_TOTAL,PC_IND,I_IUX,EL	52 	45 	42 	36 	33 	30 	28 	28 	25 	22 	20 	20 
IND_TOTAL,PC_IND,I_IUX,ES	32 	29 	27 	24 	21 	19 	17 	14 	13 	8 	6 	5 
IND_TOTAL,PC_IND,I_IUX,EU27_2007	27 	24 	22 	20 	18 	16 	14 	13 	11 	: 	: 	: 
IND_TOTAL,PC_IND,I_IUX,EU27_2020	29 	26 	24 	22 	20 	18 	16 	14 	12 	10 	9 e	8 e
IND_TOTAL,PC_IND,I_IUX,EU28	27 	24 	23 	20 	18 	16 	14 	13 	11 	9 	: 	: 
IND_TOTAL,PC_IND,I_IUX,FI	11 	9 	7 	6 	6 	5 	4 	5 	4 	3 	2 	2 
IND_TOTAL,PC_IND,I_IUX,FR	20 	18 	15 	14 	12 	11 	10 	10 	8 	7 	: 	5 
IND_TOTAL,PC_IND,I_IUX,HR	42 	39 	35 	29 	28 	26 	23 	28 	21 	18 	17 	15 
IND_TOTAL,PC_IND,I_IUX,HU	33 	29 	26 	24 	22 	21 	19 	17 	16 	14 	12 	10 
IND_TOTAL,PC_IND,I_IUX,IE	27 	21 	18 	18 	16 	16 	15 	16 	16 	9 	6 	0 bn
IND_TOTAL,PC_IND,I_IUX,IS	5 	4 	3 	3 	1 	: 	: 	1 	1 	0 n	0 n	0 n
IND_TOTAL,PC_IND,I_IUX,IT	41 	39 	37 	34 	32 	28 	25 	22 	19 	17 	14 	: 
IND_TOTAL,PC_IND,I_IUX,LT	35 	34 	31 	29 	25 	25 	22 	19 	17 	15 	14 	11 
IND_TOTAL,PC_IND,I_IUX,LU	8 	8 	6 	5 	4 	2 	2 	2 	3 b	3 	1 	1 
IND_TOTAL,PC_IND,I_IUX,LV	29 	27 	24 	22 	21 	18 	17 b	16 	13 	12 	8 	6 
IND_TOTAL,PC_IND,I_IUX,ME	: 	: 	37 	: 	: 	: 	: 	24 	23 	20 	19 	14 
IND_TOTAL,PC_IND,I_IUX,MK	44 	: 	39 	33 	29 	26 	23 	21 	18 	17 	14 	: 
IND_TOTAL,PC_IND,I_IUX,MT	36 	30 	29 	28 	24 	21 	21 	18 	17 	13 	12 	12 
IND_TOTAL,PC_IND,I_IUX,NL	8 	7 	6 	5 	5 	4 	5 	3 	4 	2 	4 	3 
IND_TOTAL,PC_IND,I_IUX,NO	5 	5 	4 	3 	3 	1 	2 	1 	1 	1 	1 	0 n
IND_TOTAL,PC_IND,I_IUX,PL	35 	33 	32 	32 	28 	27 	22 	20 	18 	15 	13 	11 
IND_TOTAL,PC_IND,I_IUX,PT	46 	41 	34 	33 	30 	28 	26 	22 	23 	22 	18 	16 
IND_TOTAL,PC_IND,I_IUX,RO	57 	54 	48 	42 	39 b	32 	30 	27 	21 	18 	14 	11 
IND_TOTAL,PC_IND,I_IUX,RS	: 	: 	: 	: 	: 	31 	: 	26 	24 	19 	17 	10 
IND_TOTAL,PC_IND,I_IUX,SE	7 	5 	5 	4 	6 	5 	3 b	2 	4 	2 	1 	1 
IND_TOTAL,PC_IND,I_IUX,SI	28 	29 	28 	23 	24 	22 	22 	18 	16 	13 	11 	7 
IND_TOTAL,PC_IND,I_IUX,SK	17 	20 	18 	15 	15 	16 	15 	14 	13 	12 	7 	8 
IND_TOTAL,PC_IND,I_IUX,TR	58 	: 	53 	51 	46 	44 	39 	33 	27 	25 	21 	17 
IND_TOTAL,PC_IND,I_IUX,UK	13 	11 	10 	8 	6 	6 	4 	4 	4 	3 	2 	: 
IND_TOTAL,PC_IND,I_IUX,XK	: 	: 	: 	: 	: 	: 	: 	13 	11 	8 	2 	: 
